time,wx,wy,wz
13.464104175567627,-0.97,-0.37,0.19
13.47115707397461,-0.76,-0.41,0.18
13.481287002563477,-0.44,-0.51,0.19
13.497070074081421,-0.13,-0.67,0.24
13.503767013549805,0.09,-0.81,0.28
13.511244058609009,0.14,-0.81,0.27
13.529727935791016,0.09,-0.75,0.22
13.536680221557617,0.03,-0.74,0.15
13.544168949127197,-0.04,-0.73,0.12
13.550730228424072,-0.06,-0.65,0.2
13.56092119216919,-0.01,-0.45,0.36
13.570666074752808,0.15,-0.31,0.54
13.58069109916687,0.4,-0.24,0.69
13.590792179107666,0.71,-0.21,0.77
13.599982261657715,1.07,-0.18,0.81
13.610288143157959,1.38,-0.1,0.78
13.62760615348816,1.61,0.02,0.7
13.634360074996948,1.79,0.13,0.59
13.642051219940186,1.92,0.37,0.48
13.649803161621094,1.98,0.77,0.38
13.662872076034546,1.97,1.18,0.29
13.669817924499512,1.93,1.4,0.21
13.679636001586914,1.82,1.37,0.14
13.689503192901611,1.57,1.31,0.11
13.699433088302612,1.31,1.31,0.15
13.70966625213623,1.23,1.31,0.24
13.724539041519165,1.19,1.26,0.2
13.731444120407104,1.13,1.34,0.1
13.73911714553833,1.13,1.6,0.06
13.749397039413452,1.2,2.03,0.1
13.764118194580078,1.44,2.33,0.2
13.770816087722778,1.6,2.57,0.44
13.778847217559814,1.56,2.64,0.67
13.79594111442566,1.44,2.06,0.9
13.802637100219727,1.25,1.32,0.94
13.810335159301758,0.97,0.66,0.79
13.818597078323364,0.63,0.39,0.57
13.834178924560547,0.28,0.47,0.4
13.843290090560913,0.04,0.63,0.29
13.849980115890503,-0.14,0.82,0.22
13.860180139541626,-0.26,0.99,0.18
13.868285179138184,-0.37,1.15,0.14
13.878077983856201,-0.46,1.23,0.1
13.887953042984009,-0.5,1.26,0.02
13.898138046264648,-0.49,1.27,-0.09
13.908008098602295,-0.46,1.28,-0.2
13.91827917098999,-0.41,1.22,-0.28
13.927544116973877,-0.38,1.07,-0.32
13.937428951263428,-0.36,0.83,-0.35
13.947356224060059,-0.34,0.59,-0.4
13.957468032836914,-0.3,0.45,-0.46
13.967205047607422,-0.26,0.43,-0.52
13.979121208190918,-0.22,0.46,-0.62
13.987305164337158,-0.17,0.58,-0.73
13.99739408493042,-0.16,0.77,-0.81
14.007240056991577,-0.18,1.01,-0.86
14.016586065292358,-0.2,1.29,-0.88
14.031671047210693,-0.16,1.57,-0.87
14.044640064239502,0.0,1.71,-0.85
14.051667213439941,0.36,1.67,-0.81
14.060290098190308,0.94,1.34,-0.71
14.067265033721924,1.45,0.59,-0.38
14.076954126358032,1.37,-0.18,0.1
14.086575031280518,0.68,-0.49,0.51
14.096590995788574,-0.1,-0.43,0.9
14.106682062149048,-0.61,-0.13,1.27
14.116043090820312,-0.78,0.3,1.41
14.130939960479736,-0.65,0.67,1.13
14.144793033599854,-0.34,0.94,0.57
14.151607036590576,0.03,0.95,0.33
14.16054105758667,0.43,0.61,0.35
14.167129039764404,0.75,-0.0,0.16
14.17662000656128,0.74,-0.52,-0.36
14.185474157333374,0.19,-0.44,-1.08
14.195826053619385,-0.68,0.12,-1.55
14.20572805404663,-1.38,0.55,-1.27
14.2155921459198,-1.61,0.42,-0.36
14.229437112808228,-1.43,0.15,0.21
14.236824035644531,-1.17,0.16,0.18
14.245140075683594,-1.03,0.32,0.14
14.262001991271973,-0.9,0.4,0.1
14.26889419555664,-0.76,0.39,0.04
14.276307106018066,-0.62,0.24,-0.17
14.284724235534668,-0.38,-0.27,-0.36
14.294938087463379,-0.13,-0.92,-0.47
14.30464220046997,-0.04,-1.36,-0.56
14.314487934112549,-0.12,-1.59,-0.6
14.328520059585571,-0.29,-1.75,-0.53
14.33597207069397,-0.43,-1.97,-0.46
14.344517230987549,-0.45,-2.22,-0.4
14.361048221588135,-0.38,-2.37,-0.36
14.368076086044312,-0.29,-2.42,-0.35
14.375936031341553,-0.26,-2.41,-0.38
14.383768081665039,-0.28,-2.41,-0.4
14.394138097763062,-0.31,-2.44,-0.43
14.403837203979492,-0.34,-2.48,-0.45
14.413741111755371,-0.35,-2.46,-0.47
14.428007125854492,-0.36,-2.38,-0.5
14.444716930389404,-0.43,-2.07,-0.56
14.444967269897461,-0.43,-2.07,-0.56
14.453619003295898,-0.48,-1.86,-0.58
14.463541030883789,-0.54,-1.64,-0.59
14.473580121994019,-0.62,-1.47,-0.58
14.483139991760254,-0.72,-1.38,-0.58
14.492967128753662,-0.82,-1.34,-0.56
14.502952098846436,-0.91,-1.33,-0.53
14.512977123260498,-0.94,-1.25,-0.47
14.526924133300781,-0.94,-1.07,-0.36
14.534479141235352,-0.95,-0.91,-0.23
14.542904138565063,-0.98,-0.81,-0.11
14.552571058273315,-1.01,-0.74,-0.0
14.5625581741333,-1.0,-0.73,0.07
14.572466135025024,-0.89,-0.73,0.08
14.58246898651123,-0.71,-0.77,0.06
14.592504978179932,-0.5,-0.82,0.05
14.60230302810669,-0.27,-0.85,0.07
14.61258316040039,-0.06,-0.87,0.13
14.622319221496582,0.08,-0.89,0.19
14.637377262115479,0.11,-0.88,0.21
14.644690036773682,0.05,-0.84,0.19
14.652001142501831,-0.06,-0.8,0.17
14.661793231964111,-0.18,-0.73,0.22
14.677603244781494,-0.32,-0.54,0.31
14.684371948242188,-0.39,-0.31,0.45
14.692831039428711,-0.3,-0.23,0.61
14.70117998123169,-0.08,-0.2,0.71
14.711318969726562,0.22,-0.16,0.76
14.721333980560303,0.6,-0.12,0.76
14.735576152801514,1.03,-0.1,0.71
14.742770195007324,1.41,-0.03,0.64
14.751183986663818,1.65,0.14,0.54
14.76127314567566,1.77,0.38,0.44
14.77083706855774,1.84,0.67,0.36
14.780651092529297,1.9,0.98,0.28
14.790905952453613,1.92,1.22,0.19
14.800576210021973,1.96,1.22,0.1
14.810570240020752,1.89,1.07,0.05
14.820549011230469,1.67,0.92,0.02
14.83464002609253,1.44,0.89,-0.03
14.841752052307129,1.29,0.97,0.03
14.850382089614868,1.21,1.14,0.11
14.860259056091309,1.2,1.18,0.12
14.870406150817871,1.28,1.36,0.08
14.880007266998291,1.37,1.79,0.07
14.890066146850586,1.5,2.37,0.1
14.900033950805664,1.61,2.87,0.26
14.9100341796875,1.69,2.73,0.63
14.920327186584473,1.66,1.98,0.91
14.92958927154541,1.53,1.13,0.92
14.939876079559326,1.17,0.59,0.76
14.949551105499268,0.67,0.4,0.58
14.959254264831543,0.23,0.38,0.45
14.969267129898071,-0.05,0.44,0.35
14.979496002197266,-0.2,0.51,0.31
14.989004135131836,-0.28,0.62,0.29
14.998950004577637,-0.34,0.73,0.25
15.009186267852783,-0.4,0.82,0.18
15.019050121307373,-0.44,0.85,0.08
15.033562183380127,-0.48,0.85,-0.0
15.04233694076538,-0.5,0.82,-0.08
15.049162149429321,-0.47,0.71,-0.12
15.06007719039917,-0.4,0.5,-0.14
15.06867504119873,-0.36,0.3,-0.17
15.078440189361572,-0.35,0.09,-0.26
15.088683128356934,-0.4,-0.0,-0.36
15.098203182220459,-0.49,0.01,-0.45
15.1093430519104,-0.55,0.03,-0.55
15.118263244628906,-0.51,0.07,-0.68
15.132861137390137,-0.41,0.23,-0.79
15.141869068145752,-0.31,0.5,-0.89
15.148714065551758,-0.22,0.83,-0.95
15.160147190093994,-0.13,1.24,-0.96
15.16762399673462,0.02,1.55,-0.91
15.177704095840454,0.27,1.62,-0.81
15.187477111816406,0.7,1.42,-0.68
15.197282075881958,1.28,0.81,-0.47
15.207356929779053,1.51,-0.07,-0.07
15.217501163482666,0.7,-0.67,0.36
15.232625961303711,-0.12,-0.71,0.71
15.241624116897583,-0.65,-0.31,0.97
15.248576164245605,-0.81,0.24,1.07
15.257898092269897,-0.68,0.67,1.0
15.267184257507324,-0.42,0.93,0.7
15.276904106140137,-0.12,1.03,0.41
15.286784172058105,0.23,0.89,0.43
15.296626091003418,0.58,0.47,0.55
15.306608200073242,0.8,-0.05,0.45
15.316408157348633,0.69,-0.28,-0.03
15.33216905593872,0.04,-0.07,-0.64
15.341613054275513,-0.8,0.36,-1.02
15.348425149917603,-1.54,0.57,-0.73
15.357759952545166,-1.87,0.47,-0.3
15.366162061691284,-1.58,0.24,-0.18
15.376039028167725,-1.27,-0.0,0.04
15.386462211608887,-1.01,-0.12,0.15
15.395833015441895,-0.76,-0.23,0.13
15.40571904182434,-0.59,-0.12,0.02
15.415686130523682,-0.43,0.03,-0.16
15.425953149795532,-0.24,-0.02,-0.28
15.441596031188965,-0.07,-0.26,-0.45
15.448487043380737,-0.08,-0.58,-0.74
15.458408117294312,-0.23,-0.9,-0.91
15.465320110321045,-0.43,-1.16,-0.86
15.47592806816101,-0.56,-1.34,-0.7
15.48546314239502,-0.62,-1.48,-0.59
15.495101928710938,-0.55,-1.6,-0.6
15.505093097686768,-0.47,-1.69,-0.53
15.514890193939209,-0.44,-1.77,-0.47
15.525298118591309,-0.46,-1.83,-0.48
15.541892051696777,-0.54,-1.85,-0.55
15.548740148544312,-0.56,-1.92,-0.57
15.559083938598633,-0.73,-1.83,-0.52
15.566067218780518,-0.86,-1.78,-0.58
15.574748992919922,-0.96,-1.59,-0.65
15.584633111953735,-0.95,-1.53,-0.72
15.59432601928711,-0.79,-1.63,-0.72
15.60421109199524,-0.69,-1.63,-0.69
15.61405897140503,-0.65,-1.54,-0.63
15.6252601146698,-0.68,-1.4,-0.55
15.641205072402954,-0.74,-1.19,-0.44
15.648093223571777,-0.73,-0.85,-0.32
15.65923023223877,-0.68,-0.51,-0.2
15.666245937347412,-0.62,-0.33,-0.06
15.674750089645386,-0.64,-0.21,0.08
15.683656215667725,-0.83,-0.11,0.18
15.693639039993286,-0.98,-0.16,0.2
15.703412055969238,-0.94,-0.26,0.13
15.713093042373657,-0.74,-0.34,0.04
15.72367811203003,-0.43,-0.45,-0.07
15.733087062835693,-0.07,-0.63,-0.21
15.74322509765625,0.21,-0.79,-0.3
15.753257274627686,0.27,-0.75,-0.28
15.76269006729126,0.18,-0.55,-0.19
15.772768020629883,0.07,-0.44,-0.08
15.782937049865723,0.01,-0.51,-0.0
15.792725086212158,0.04,-0.66,0.12
15.802660942077637,0.12,-0.76,0.26
15.812480926513672,0.2,-0.69,0.4
15.822582244873047,0.28,-0.5,0.51
15.842883110046387,0.55,-0.34,0.73
15.849632263183594,0.55,-0.34,0.73
15.852153062820435,0.78,-0.39,0.8
15.862029075622559,1.04,-0.47,0.84
15.872206211090088,1.29,-0.61,0.88
15.881888151168823,1.55,-0.87,0.87
15.89186406135559,1.76,-1.07,0.79
15.90187406539917,1.94,-1.12,0.7
15.91191816329956,2.08,-0.96,0.52
15.921717166900635,2.21,-0.76,0.34
15.9407639503479,2.28,-0.45,0.22
15.947680950164795,2.29,-0.21,0.11
15.955465078353882,2.22,-0.17,0.02
15.962471008300781,2.11,-0.19,-0.1
15.976271152496338,2.01,-0.17,-0.22
15.983273983001709,1.98,-0.11,-0.28
15.991631984710693,1.99,0.15,-0.21
16.010201930999756,2.06,0.51,-0.07
16.01740026473999,2.17,0.84,0.12
16.025007247924805,2.21,1.12,0.31
16.043447017669678,1.82,1.6,0.94
16.04389214515686,1.82,1.6,0.94
16.051112174987793,1.32,2.14,1.29
16.060490131378174,0.85,2.4,1.39
16.07606315612793,0.54,2.19,1.24
16.083070039749146,0.36,1.84,0.93
16.09070611000061,0.29,1.56,0.64
16.10037112236023,0.21,1.46,0.33
16.110441207885742,0.1,1.51,0.04
16.12030601501465,-0.07,1.6,-0.13
16.136183261871338,-0.28,1.51,-0.19
16.14359712600708,-0.43,1.44,-0.25
16.151008129119873,-0.34,1.16,-0.3
16.159821033477783,-0.1,0.71,-0.41
16.178295135498047,-0.04,0.69,-0.42
16.185485124588013,-0.09,0.82,-0.41
